"Artist","Classifications","Color","Franchise","Image","Cost","Inkable","Name","Type","Lore","Rarity","Flavor_Text","Body_Text","Willpower","Strength","prints","Abilities","Card_Variants","Move_Cost"
"Tania Soler","Storyborn, Hero, Princess","Amber","Cinderella","https://lorcana-api.com/images/cinderella/the_right_one/cinderella-the_right_one-large.png",4,true,"Cinderella - The Right One","Character",2,"Rare","But, you see, I have the other slipper.","IF THE SLIPPER FITS: When you play this character, you may put an item card named The Glass Slipper from your discard on the bottom of your deck to gain 3 lore.",4,2,"[""ARI-015""]",,,
"Samanta Erdini","Storyborn, Ally","Amber","Encanto","https://lorcana-api.com/images/mariano_guzman/handsome_suitor/mariano_guzman-handsome_suitor-large.png",3,true,"Mariano Guzman - Handsome Suitor","Character",1,"Common","The puzzles of the heart are trickier than anything Archazia could come up with.","I SEE YOU: While you have a character named
Dolores Madrigal in play, this character gets +1 {l}.",4,3,"[""ARI-016""]",,,
"Kapik","Storyborn, Ally, Racer","Amber","Wreck-It Ralph","https://lorcana-api.com/images/candlehead/dedicated_racer/candlehead-dedicated_racer-large.png",2,true,"Candlehead - Dedicated Racer","Character",1,"Common",,"WINNING ISN'T EVERYTHING: When this character is banished, you may remove up to 2 damage from chosen character.",2,2,"[""ARI-017""]",,,
"Ellie Horie","Storyborn, Hero","Amber","Bolt","https://lorcana-api.com/images/bolt/dependable_friend/bolt-dependable_friend-large.png",4,true,"Bolt - Dependable Friend","Character",2,"Common","Super dog versus super log! This is AWESOME!""
-Rhino","Support (Whenever this character quests, you may add their {s} to another chosen character's
{s} this turn.)",4,2,"[""ARI-018""]","Support",,
"Aubrey Archer","Storyborn, Ally","Amber, Amethyst","Tangled","https://lorcana-api.com/images/pascal/garden_chameleon/pascal-garden_chameleon-large.png",4,false,"Pascal - Garden Chameleon","Character",3,"Uncommon","Once Pascal got into Archazia's flowerbeds, there was no getting him out.","Evasive (Only characters with Evasive can challenge this character.)",3,3,"[""ARI-019""]","Evasive",,
"Stefano Spagnuolo","Storyborn, Villain, King, Racer","Amber, Ruby","Wreck-It Ralph","https://lorcana-api.com/images/king_candy/royal_racer/king_candy-royal_racer-large.png",4,false,"King Candy - Royal Racer","Character",2,"Super Rare","Get off of my track!","SWEET REVENGE: Whenever one of your other Racer characters is banished, each opponent chooses and banishes one of their characters.",2,2,"[""ARI-020""]",,,
"Aisha Durmagambetova","Storyborn, Ally","Amber, Steel","Bolt","https://lorcana-api.com/images/penny/bolt's_person/penny-bolt's_person-large.png",2,true,"Penny - Bolt's Person","Character",2,"Uncommon",,"ENDURING LOYALTY: When you play this character, you may remove up to 2 damage from chosen character and they gain Resist +1 until the start of your next turn. (Damage dealt to them is reduced by 1.)",2,1,"[""ARI-021""]",,,
"Stefano Spagnuolo","Storyborn, Hero, Racer","Amber, Ruby","Wreck-It Ralph","https://lorcana-api.com/images/fix-it_felix_jr/pint-sized_hero/fix-it_felix_jr.-pint-sized_hero-large.png",5,true,"Fix-It Felix Jr. - Pint-Sized Hero","Character",2,"Uncommon","A trap is just a puzzle that's not very friendly.","LET'S GET TO WORK: Whenever you return a Racer character card from your discard to your hand, you may ready chosen Racer character. They can't quest for the rest of this turn.",4,4,"[""ARI-022""]",,,
"Max Grecke","Floodborn, Hero","Amber, Sapphire","Bolt","https://lorcana-api.com/images/thunderbolt/wonder_dog/thunderbolt-wonder_dog-large.png",5,true,"Thunderbolt - Wonder Dog","Character",2,"Uncommon",,"Puppy Shift 3: (You may pay 3 {i} to play this on top of one of your Puppy characters.)
Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",7,3,"[""ARI-023""]","Puppy Shift 3, Bodyguard",,
"Jo?o Moura","Storyborn, Hero, Prince","Amber","Sleeping Beauty","https://lorcana-api.com/images/the_prince/vigilant_suitor/the_prince-vigilant_suitor-large.png",2,false,"The Prince - Vigilant Suitor","Character",1,"Uncommon",,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",5,0,"[""ARI-024""]","Bodyguard",,
"C?sar Vergara","Storyborn, Ally, Madrigal","Amber","Encanto","https://lorcana-api.com/images/isabella_madrigal/in_the_moment/isabella_madrigal-in_the_moment-large.png",5,false,"Isabella Madrigal - In the Moment","Character",4,"Rare","I just made something unexpected. Something sharp, something new.","I'M TIRED OF PERFECT: Whenever one of your characters sings a song, this character can't be challenged until the start of your next turn.",3,3,"[""ARI-025""]",,,
"Alice Pisoni","Floodborn, Hero, Racer","Amber, Ruby","Wreck-It Ralph","https://lorcana-api.com/images/calhoun/courageous_rescuer/calhoun-courageous_rescuer-large.png",6,true,"Calhoun - Courageous Rescuer","Character",2,"Rare",,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Calhoun.)
BACK TO START POSITIONS!: Whenever this character challenges another character, you may return a Racer character card from your discard to your hand.",5,5,"[""ARI-026""]","Shift 4",,
"Eri Welli","Storyborn, Hero","Amber","Wreck-It Ralph","https://lorcana-api.com/images/wreck-it_ralph/hero's_duty/wreck-it_ralph-hero's_duty-large.png",6,true,"Wreck-It Ralph - Hero's Duty","Character",1,"Rare","I got that medal in the bag.","OUTFLANK: During your turn, whenever one of your other characters is banished, this character gets +1 {l} this turn.",8,3,"[""ARI-027""]",,,
"Jo?o Moura","Floodborn, Hero","Amber, Emerald","Lady and the Tramp","https://lorcana-api.com/images/lady/miss_park_avenue/lady-miss_park_avenue-large.png",5,false,"Lady - Miss Park Avenue","Character",2,"Super Rare",,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Lady.)
SOMETHING WONDERFUL: When you play this character, you may return up to 2 character cards with cost 2 or less each from your discard to your hand.",4,4,"[""ARI-028""]","Shift 3",,
"C?cile Carre","Storyborn, Hero","Amber, Sapphire","101 Dalmations","https://lorcana-api.com/images/pongo/dear_old_dad/pongo-dear_old_dad-large.png",6,false,"Pongo - Dear Old Dad","Character",2,"Super Rare","Tricks and traps are nothing for plucky pups.","FOUND YOU, YOU LITTLE RASCAL: At the start of your turn, look at the cards in your inkwell. You may play a Puppy character from there for free.",5,5,"[""ARI-029""]",,,
"Julien Vandois","Storyborn, Hero","Amber","Brother Bear","https://lorcana-api.com/images/kenai/protective_brother/kenai-protective_brother-large.png",4,true,"Kenai - Protective Brother","Character",1,"Rare",,"HE NEEDS ME: At the end of your turn, if this character is exerted, you may ready another chosen character of yours and remove all damage from them.",4,2,"[""ARI-030""]",,,
"SCG","Storyborn, Hero","Amber","Mickey and Friends","https://lorcana-api.com/images/minnie_mouse/storyteller/minnie_mouse-storyteller-large.png",2,false,"Minnie Mouse - Storyteller","Character",0,"Legendary",,"GATHER AROUND: Whenever you play a character, this character gets +1 {l} this turn.
JUST ONE MORE: Whenever this character quests, chosen opposing character loses {s} equal to this character's {l} until the start of your next turn.",2,1,"[""ARI-031""]",,,
"Kapik","Storyborn, Ally","Amber, Emerald","Cinderella","https://lorcana-api.com/images/perla/nimble_seamstress/perla-nimble_seamstress-large.png",3,true,"Perla - Nimble Seamstress","Character",1,"Uncommon",,"Evasive (Only characters with Evasive can challenge this character.)
Support (Whenever this character quests, you may add their {s} to another chosen character's
{s} this turn.)",2,3,"[""ARI-032""]","Evasive, Support",,
"Mario Manzanares","Storyborn, Hero, Princess","Amber","Snow White and the Seven Dwarfs","https://lorcana-api.com/images/snow_white/fairest_in_the_land/snow_white-fairest_in_the_land-large.png",4,true,"Snow White - Fairest in the Land","Character",2,"Uncommon","A true heart can thwart many an evil scheme.","HIDDEN AWAY: This character can't be challenged.",2,2,"[""ARI-033""]",,,
"Jeanne Plounevez","Storyborn, Ally","Amber","Brother Bear","https://lorcana-api.com/images/koda/smallish_bear/koda-smallish_bear-large.png",3,true,"Koda - Smallish Bear","Character",3,"Uncommon","And then they were like, 'How'd you catch so many fish, Koda?' And I said, Well, you know me. I know how to catch fish. And they said...",,2,2,"[""ARI-034""]",,,
"Eri Welli","Floodborn, Hero, Madrigal","Amber, Amethyst","Encanto","https://lorcana-api.com/images/mirabel_madrigal/musically_talented/mirabel_madrigal-musically_talented-large.png",6,true,"Mirabel Madrigal - Musically Talented","Character",2,"Super Rare",,"Shift 4 (You may pay 4 to play this on top of one of your characters named Mirabel Madrigal.)
HER OWN SPECIAL GIFT: Whenever this character quests, you may return a song card with cost 3 or less from your discard to your hand.",6,2,"[""ARI-035""]","Shift 4",,
"Alice Pisoni","Dreamborn, Hero, Racer","Amber","Wreck-It Ralph","https://lorcana-api.com/images/calhoun/battle-tested/calhoun-battle-tested-large.png",3,true,"Calhoun - Battle-Tested","Character",1,"Common","Preparation and luck-you can only rely on one to win a fight!","TACTICAL ADVANTAGE When you play this character, you may choose and discard a card to give chosen opposing character -3 {s} until the start of your next turn.",4,2,"[""ARI-036""]",,,
"Valentina Graziuso","Storyborn, Ally, Madrigal","Amber","Encanto","https://lorcana-api.com/images/pepa_madrigal/sensitive_sister/pepa_madrigal-sensitive_sister-large.png",3,true,"Pepa Madrigal - Sensitive Sister","Character",1,"Common","Archazia's calming presence helped Pepa dispel
her dark mood.","CLEAR SKIES, CLEAR SKIES: Whenever one or more of your characters sings a song, gain 1 lore.",4,2,"[""ARI-037""]",,,
"Andrea Femerstrand","Song","Amber","Bolt","https://lorcana-api.com/images/so_much_to_give/so_much_to_give-large.png",2,true,"So Much To Give","Action - Song",,"Common",,"(A character with cost 2 or more can {e} to sing this song for free.)
Draw a card. Chosen character gains Bodyguard until the start of your next turn. (An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",,,"[""ARI-038""]",,,
"Nicola Saviori / Livio Cacciatore","Remove up to 3 damage from chosen character or location. Draw a card.","Amber, Sapphire","Moana","https://lorcana-api.com/images/restoring_the_heart/restoring_the_heart-large.png",1,true,"Restoring the Heart","Action",,"Uncommon","The moment her heart was returned, greenery burst to life and restored Te Fiti to her rightful form.",,,,"[""ARI-039""]",,,
"Juan Diego Leon","Song","Amber, Amethyst","Encanto","https://lorcana-api.com/images/the_family_madrigal/the_family_madrigal-large.png",5,true,"The Family Madrigal","Action - Song",,"Rare",,"(A character with cost 5 or more can {e} to sing this song for free.)
Look at the top 5 cards of your deck. You may reveal up to 1 Madrigal character card and up to 1 song card and put them into your hand. Put the rest on the top of your deck in any order.",,,"[""ARI-040""]",,,
"Francesco Colucci",,"Amber","Lorcana","https://lorcana-api.com/images/amber_coil/amber_coil-large.png",1,true,"Amber Coil","Item",,"Uncommon","Martin smiled as the coil snapped into place and he felt a surge of healing energy.","HEALING AURA: During your turn, whenever a card is put into your inkwell, you may remove up to 2 damage from chosen character.",,,"[""ARI-041""]",,,
"Roberto Gatto",,"Amber","Lady and the Tramp","https://lorcana-api.com/images/spaghetti_dinner/spaghetti_dinner-large.png",2,false,"Spaghetti Dinner","Item",,"Common","Hey, Tony's! Of course. The very place for a very
special occasion.""
-Tramp","FINE DINING: {e},1 {i} - If you have 2 or more characters in play, gain 1 lore.",,,"[""ARI-042""]",,,
"Juan Diego Leon",,"Amber","Bolt","https://lorcana-api.com/images/kanine_krunchies/kanine_krunchies-large.png",1,true,"Kanine Krunchies","Item",,"Common","Happy dogs are those who eat nutritious Kanine Krunchies!","YOU CAN BE A CHAMPION, TOO: Your Puppy characters get +1 {w}",,,"[""ARI-043""]",,,
"Tania Soler",,"Amber","Cinderella","https://lorcana-api.com/images/the_glass_slipper/the_glass_slipper-large.png",2,false,"The Glass Slipper","Item",,"Rare",,"PERFECT PAIR: You may only have 2 copies of The Glass Slipper in your deck.
SEARCH THE KINGDOM: Banish this item, {e} one of your Prince characters - Search your deck for a Princess character card and reveal it to all players. Put that card into your hand and shuffle your deck.",,,"[""ARI-044""]",,,
"","Storyborn, King","Amethyst","The Emperor's New Groove","https://lorcana-api.com/images/kuzco/temporary_whale/kuzco-temporary_whale-large.png",5,false,"Kuzco - Temporary Whale","Character",2,"Rare",,,4,1,"[""ARI-045""]",,,
"Filipe Laurentino","Storyborn, Ally","Amethyst","Brother Bear","https://lorcana-api.com/images/tanana/tribal_elder/tanana-tribal_elder-large.png",4,true,"Tanana - Tribal Elder","Character",1,"Common","""This is a place of wonder and learning. Pay attention to the Owl and see what she can teach you.""",,4,4,"[""ARI-046""]",,,
"Alexandria Neonakis","Storyborn","Amethyst","Aladdin","https://lorcana-api.com/images/treasure_guardian/foreboding_sentry/treasure_guardian-foreboding_sentry-large.png",4,true,"Treasure Guardian - Foreboding Sentry","Character",2,"Common","""At last, after all my years of searching!""
-Jafar","UNTOLD TREASURE: When you play this character, if you have an Illusion character in play, you may draw a card.",3,3,"[""ARI-047""]",,,
"Alexandria Neonakis","Storyborn, Ally","Amethyst","Frozen","https://lorcana-api.com/images/honeymaren/northuldra_guide/honeymaren-northuldra_guide-large.png",2,true,"Honeymaren - Northuldra Guide","Character",1,"Common","""It's said to be a bridge between us and the magic of nature.""","TALE OF THE FIFTH SPIRIT: When you play this character, if an opponent has an exerted character in play, gain 1 lore.",2,2,"[""ARI-048""]",,,
"John Loren / Nicholas Kole","Dreamborn, Ally, Illusion","Amethyst","Aladdin","https://lorcana-api.com/images/iago/giant_spectral_parrot/iago-giant_spectral_parrot-large.png",4,true,"Iago - Giant Spectral Parrot","Character",1,"Rare",,"Evasive (Only characters with Evasive can challenge this character.)
Vanish (When an opponent chooses this character for an action, banish them.)",6,4,"[""ARI-049""]","Evasive, Vanish",,
"Giulia Riva","Storyborn, Villain","Amethyst","Fantasia","https://lorcana-api.com/images/chernabog/creature_of_the_night/chernabog-creature_of_the_night-large.png",5,false,"Chernabog - Creature of the Night","Character",1,"Rare",,"MIDNIGHT REVEL: When you play this character, each  opponent chooses and exerts one of their ready characters. They can't ready at the start of their next turn.",6,2,"[""ARI-050""]",,,
"John Loren / Nicholas Kole","Dreamborn, Villain, Sorcerer","Amethyst, Steel","Aladdin","https://lorcana-api.com/images/jafar/newly_crowned/jafar-newly_crowned-large.png",4,true,"Jafar - Newly Crowned","Character",2,"Super Rare","""Now that the Hexwell Crown is finally mine, no force in Lorcana can stand against me!""","THIS IS NOT DONE YET: During an opponent's turn, whenever one of your Illusion characters is banished, you may return that card to your hand.",4,2,"[""ARI-051""]",,,
"Cristian Romero","Storyborn, Villain, Deity","Amethyst, Ruby","Hercules","https://lorcana-api.com/images/hades/fast_talker/hades-fast_talker-large.png",6,false,"Hades - Fast Talker","Character",2,"Rare","""... You get a whole lotta gain.""","FOR JUST A LITTLE PAIN: When you play this character, you may deal 2 damage to another chosen character of yours to banish chosen character with cost 3 or less.",6,4,"[""ARI-052""]",,,
"Roger P?rez","Storyborn, Villain","Amethyst, Ruby","The Rescuers","https://lorcana-api.com/images/madame_medusa/diamond_lover/madame_medusa-diamond_lover-large.png",4,true,"Madame Medusa - Diamond Lover","Character",1,"Uncommon",,"SEARCH THE SWAMP Whenever this character quests, you may deal 2 damage to another chosen character of yours to put the top 3 cards of chosen player's deck into their discard.",4,3,"[""ARI-053""]",,,
"Nicola Saviori","Floodborn, Villain, Deity","Amethyst, Ruby","Moana","https://lorcana-api.com/images/te_ka/elemental_terror/te_ka-elemental_terror-large.png",10,true,"Te Ka - Elemental Terror","Character",3,"Super Rare",,"Shift 7 (You may pay 7 {i} to play this on top of one of your characters named Te Ka.)
ANCIENT RAGE During your turn, whenever an opposing character is exerted, banish them.",12,12,"[""ARI-054""]","Shift 7",,
"Amber Kommavongsa","Storyborn, Hero, Queen, Sorcerer","Amethyst","Frozen","https://lorcana-api.com/images/elsa/trusted_sister/elsa-trusted_sister-large.png",2,true,"Elsa - Trusted Sister","Character",1,"Common","""Fear is what can't be trusted.""","WHAT DO WE DO NOW? Whenever this character quests, if you have a character named Anna in play, gain 1 lore.",3,2,"[""ARI-055""]",,,
"Jocelyn Sepulveda","Storyborn, Villain, Sorcerer","Amethyst","The Sword in the Stone","https://lorcana-api.com/images/madam_mim/cheating_spellcaster/madam_mim-cheating_spellcaster-large.png",6,true,"Madam Mim - Cheating Spellcaster","Character",2,"Rare","""She only wants rules so she can break them!""
-Archimedes","PLAY ROUGH: Whenever this character quests, exert chosen opposing character.",5,4,"[""ARI-056""]",,,
"Nicola Saviori","Dreamborn, Ally, Illusion","Amethyst, Steel","Aladdin","https://lorcana-api.com/images/giant_cobra/ghostly_serpent/giant_cobra-ghostly_serpent-large.png",3,true,"Giant Cobra - Ghostly Serpent","Character",1,"Uncommon",,"Vanish (When an opponent chooses this character for an action, banish them.)
MYSTERIOUS ADVANTAGE: When you play this character, you may choose and discard a card to gain 2 lore.",4,4,"[""ARI-057""]","Vanish",,
"Max Grecke","Storyborn, Villain, Deity","Amethyst","Moana","https://lorcana-api.com/images/te_ka/lava_monster/te_ka-lava_monster-large.png",6,true,"Te Ka - Lava Monster","Character",2,"Common","""You wanna get to Te Fiti, you have to go through a whole ocean of bad. Not to mention Te K?.""
-Maui","Challenger +2 (While challenging, this character gets +2 {s}.)",6,5,"[""ARI-058""]","Challenger +2",,
"OggysonArt","Storyborn, Villain, Sorcerer","Amethyst","The Emperor's New Groove","https://lorcana-api.com/images/yzma/transformed_kitten/yzma-transformed_kitten-large.png",2,true,"Yzma - Transformed Kitten","Character",1,"Common","""Yes, I've already finished this course. I'm still going to bounce a few more times.""","I WIN: When this character is banished, if you have more cards in your hand than each opponent, you may return this card to your hand.",1,2,"[""ARI-059""]",,,
"Kenneth Anderso","Dreamborn, Ally","Amethyst","The Emperor's New Groove","https://lorcana-api.com/images/bucky/nutty_rascal/bucky-nutty_rascal-large.png",3,true,"Bucky - Nutty Rascal","Character",1,"Common","""Oh, hang on. I love this bit! He pops the balloon and all those acorns go flying out. Gets me every time.""
-Kronk","POP!: When this character is banished in a challenge, you may draw a card.",2,3,"[""ARI-060""]",,,
"Arianna Rea","Storyborn, Ally","Amethyst","Hercules","https://lorcana-api.com/images/pain/impudent_imp/pain-impudent_imp-large.png",1,true,"Pain - Impudent Imp","Character",1,"Common","""Um, wasn't there something the boss wanted us to take care of? Was it testing these arrows?""",,3,1,"[""ARI-061""]",,,
"Andrea Femerstrand","Dreamborn, Ally, Illusion","Amethyst","Aladdin","https://lorcana-api.com/images/rajah/ghostly_tiger/rajah-ghostly_tiger-large.png",2,true,"Rajah - Ghostly Tiger","Character",1,"Common","He may be spectral, but the danger is very real.","Vanish (When an opponent chooses this character for an action, banish them.)",3,3,"[""ARI-062""]","Vanish",,
"Tony Bancroft / Lindsay Weyman","Storyborn, Ally","Amethyst, Emerald","The Emperor's New Groove","https://lorcana-api.com/images/kronk/laid_back/kronk-laid_back-large.png",5,false,"Kronk - Laid Back","Character",2,"Rare",,"Ward (Opponents can't choose this character except to challenge.)
I'M LOVIN' THIS: If an effect would cause you to discard one or more cards, you don't discard.",4,4,"[""ARI-063""]","Ward",,
"lan MacDonald","Storyborn, Villain, Sorcerer","Amethyst, Ruby","Tangled","https://lorcana-api.com/images/mother_gothel/vain_sorceress/mother_gothel-vain_sorceress-large.png",3,true,"Mother Gothel - Vain Sorceress","Character",1,"Uncommon",,"NOW YOU'VE UPSET ME: Whenever one of your characters challenges, you may move 1 damage counter from chosen character to chosen opposing character.",4,1,"[""ARI-064""]",,,
"Juan Diego Leon","Storyborn, Ally","Amethyst, Sapphire","Frozen","https://lorcana-api.com/images/sven/keen-eyed_reindeer/sven-keen-eyed_reindeer-large.png",5,true,"Sven - Keen-Eyed Reindeer","Character",1,"Uncommon",,"Rush (This character can challenge the turn they're played.)
FORMIDABLE GLARE: When you play this character, chosen character gets -3 {s} this turn.",6,2,"[""ARI-065""]","Rush",,
"Mike Parker","Storyborn, Ally","Amethyst, Emerald","Sleeping Beauty","https://lorcana-api.com/images/diablo/spiteful_raven/diablo-spiteful_raven-large.png",2,true,"Diablo - Spiteful Raven","Character",1,"Uncommon",,"Evasive (Only characters with Evasive can challenge this character.)
Challenger +2 (While challenging, this character gets +2 {s}.)",2,1,"[""ARI-066""]","Evasive, Challenger +2",,
"Cam Kendell","Storyborn, Mentor, Sorcerer","Amethyst, Sapphire","The Sword in the Stone","https://lorcana-api.com/images/merlin/clever_clairvoyant/merlin-clever_clairvoyant-large.png",1,true,"Merlin - Clever Clairvoyant","Character",1,"Rare",,"PRESTIDIGITONIUM: Whenever this character quests, name a card, then reveal the top card of your deck. If it's the named card, put it into your inkwell facedown and exerted. Otherwise, put it on the top of your deck.",1,0,"[""ARI-067""]",,,
"Cristian Romero","Floodborn, Villain, Queen","Amethyst, Emerald","The Emperor's New Groove","https://lorcana-api.com/images/yzma/above_it_all/yzma-above_it_all-large.png",7,true,"Yzma - Above It All","Character",2,"Super Rare",,"Shift 5 (You may pay 5 to play this on top of one of your characters named Yzma.)
Evasive (Only characters with Evasive can challenge this character.)
BACK TO WORK: Whenever another character is banished in a challenge, return that card to its player's hand, then that player discards a card at random.",8,3,"[""ARI-068""]","Shift 5, Evasive",,
"lan MacDonald","Floodborn, Hero, Queen, Sorcerer","Amethyst, Sapphire","Frozen","https://lorcana-api.com/images/elsa/ice_maker/elsa-ice_maker-large.png",7,false,"Elsa - Ice Maker","Character",2,"Super Rare",,"Shift 4 (You may pay 4 to play this on top of one of
your characters named Elsa.)
WINTER WALL: Whenever this character quests, you may exert chosen character. If you do and you have a character named Anna in play, the chosen character can't ready at the start of their next turn.",5,5,"[""ARI-069""]","Shift 4",,
"Jeanne Plounevez","Storyborn, Hero","Amethyst","Brother Bear","https://lorcana-api.com/images/kenai/magical_bear/kenai-magical_bear-large.png",3,true,"Kenai - Magical Bear","Character",1,"Rare",,"Challenger +2 (While challenging, this character gets +2 {s}.)
WISDOM OF HIS STORY During your turn, when this character is banished in a challenge, return this card to your hand and gain 1 lore.",4,1,"[""ARI-070""]","Challenger +2",,
"Florencia Vazquez","Storyborn, King","Amethyst, Emerald","The Emperor's New Groove","https://lorcana-api.com/images/kuzco/panicked_llama/kuzco-panicked_llama-large.png",4,false,"Kuzco - Panicked Llama","Character",2,"Uncommon",,"Evasive (Only characters with Evasive can challenge this character.)
WE CAN FIGURE THIS OUT: At the start of your turn, choose one:
- Each player draws a card.
- Each player chooses and discards a card.",2,2,"[""ARI-071""]","Evasive",,
